User Story DB,이름,마감 날짜,상태,작업 날짜,작업자,카테고리
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),Idle 애니메이션 개발,,완료,,,[애니메이션 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),기본 배회 및 플레이어 감지 로직 구현,,완료,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),돌진 준비 및 실행 로직 구현,,완료,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),충돌 시 HP 감소 및 패널 노출 로직 구현,,완료,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),패널 공격 및 데미지 로직 구현,,완료,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),Rampage 이동속도 및 돌진속도 밸런스 조정,,완료,,,[밸런스 조정 및 QA]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),아이템 드롭 오브젝트 모델링 추가,,시작 전,,,[모델링 및 리소스]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),Rampage 무력화 패널 모델링 제작,,시작 전,,,[모델링 및 리소스]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),Rampage 무력화 상태 전환 모델링 제작,,시작 전,,,[모델링 및 리소스]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),Rampage 기본 모델링 제작,,완료,,,[모델링 및 리소스]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),바퀴 회전 애니메이션 개발,,시작 전,,,[애니메이션 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),무력화 후 아이템 드롭 로직 구현,,시작 전,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),쿠션 설치 여부 패널 노출 조정 로직 구현,,시작 전,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),벽 충돌 효과음 및 이펙트 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),돌진 시작 사운드 및 효과음 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),무력화 완료 후 모델링 변경 로직 구현,,시작 전,,,[로직 개발]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),패널 공격 성공 사운드 및 이펙트 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),무력화 완료 사운드 및 효과음 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),무력화 패널 노출 효과음 및 이펙트 추가,,시작 전,,,[이펙트 및 사운드]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),Rampage HP 및 데미지 밸런스 조정,,시작 전,,,[밸런스 조정 및 QA]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),쿠션 설치 전략 및 위치 밸런스 조정,,시작 전,,,[밸런스 조정 및 QA]
Rampage 개발 (Rampage%20%E1%84%80%E1%85%A2%E1%84%87%E1%85%A1%E1%86%AF%201c5c47c7ac2d8180b537e85e544bbf43.md),실제 플레이 환경 QA 진행 및 밸런스 최적화,,시작 전,,,[밸런스 조정 및 QA]
